Experimental_side,millis_since_start,datetime,MouseRFID,BottleLicked,BoutDuration,BoutLickNumber,BoutLickDuration,LickFrequency,Inter-Lick-Interval
RIGHT, 600088, "2023/10/13 15:54:10", 16000287245, RIGHT, 612.00, 7.00, 232.00, 11.44, 54.29
RIGHT, 632497, "2023/10/13 15:54:42", 160001217120, RIGHT, 6506.00, 48.00, 2055.00, 7.38, 92.73
RIGHT, 1237855, "2023/10/13 16:04:48", 160002113211, LEFT, 7990.00, 34.00, 1424.00, 4.26, 193.12
RIGHT, 1446122, "2023/10/13 16:08:16", 160001217120, LEFT, 3597.00, 30.00, 1205.00, 8.34, 79.73
RIGHT, 1447474, "2023/10/13 16:08:17", 160001217120, LEFT, 283.00, 3.00, 121.00, 10.60, 54.00
RIGHT, 1465026, "2023/10/13 16:08:35", 160001217120, LEFT, 2035.00, 17.00, 635.00, 8.35, 82.35
RIGHT, 3571113, "2023/10/13 16:43:40", 160001217120, RIGHT, 3835.00, 27.00, 1142.00, 7.04, 99.74
RIGHT, 9817570, "2023/10/13 18:27:46", 16000286244, LEFT, 1338.00, 4.00, 153.00, 2.99, 296.25
RIGHT, 10475765, "2023/10/13 18:38:44", 16000286244, RIGHT, 7289.00, 51.00, 2214.00, 7.00, 99.51
RIGHT, 10527939, "2023/10/13 18:39:36", 16000286244, RIGHT, 3655.00, 30.00, 1324.00, 8.21, 77.70
RIGHT, 10559224, "2023/10/13 18:40:07", 16000069229, RIGHT, 1797.00, 17.00, 721.00, 9.46, 63.29
RIGHT, 10600801, "2023/10/13 18:40:49", 160002113211, LEFT, 13162.00, 87.00, 3705.00, 6.61, 108.70
RIGHT, 10605412, "2023/10/13 18:40:53", 16000287245, LEFT, 343.00, 3.00, 131.00, 8.75, 70.67
RIGHT, 10667971, "2023/10/13 18:41:56", 160001217120, LEFT, 3700.00, 29.00, 1217.00, 7.84, 85.62
RIGHT, 10806175, "2023/10/13 18:44:14", 160001217120, RIGHT, 1055.00, 11.00, 429.00, 10.43, 56.91
RIGHT, 10809474, "2023/10/13 18:44:17", 160001217120, RIGHT, 2326.00, 15.00, 689.00, 6.45, 109.13
RIGHT, 10838494, "2023/10/13 18:44:46", 16000287245, RIGHT, 5355.00, 34.00, 1498.00, 6.35, 113.44
RIGHT, 10900138, "2023/10/13 18:45:48", 16000069229, LEFT, 3094.00, 27.00, 1137.00, 8.73, 72.48
RIGHT, 10908222, "2023/10/13 18:45:56", 16000286244, LEFT, 3891.00, 33.00, 1416.00, 8.48, 75.00
RIGHT, 10917059, "2023/10/13 18:46:05", 160002113211, LEFT, 4503.00, 38.00, 1550.00, 8.44, 77.71
RIGHT, 11036889, "2023/10/13 18:48:05", 16000287245, LEFT, 1175.00, 12.00, 411.00, 10.21, 63.67
RIGHT, 11162131, "2023/10/13 18:50:10", 16000286244, LEFT, 13331.00, 98.00, 4614.00, 7.35, 88.95
RIGHT, 11418625, "2023/10/13 18:54:26", 16000069229, RIGHT, 3014.00, 24.00, 1075.00, 7.96, 80.79
RIGHT, 11425792, "2023/10/13 18:54:33", 160001217120, LEFT, 2119.00, 17.00, 687.00, 8.02, 84.24
RIGHT, 11505275, "2023/10/13 18:55:53", 16000286244, LEFT, 3074.00, 27.00, 1046.00, 8.78, 75.11
RIGHT, 11514889, "2023/10/13 18:56:02", 160001217120, LEFT, 419.00, 5.00, 162.00, 11.93, 51.40
RIGHT, 11576256, "2023/10/13 18:57:04", 16000069229, LEFT, 1924.00, 18.00, 737.00, 9.36, 65.94
RIGHT, 11753401, "2023/10/13 19:00:01", 16000287245, LEFT, 7487.00, 59.00, 2592.00, 7.88, 82.97
RIGHT, 11758665, "2023/10/13 19:00:06", 160002113211, RIGHT, 5653.00, 42.00, 1592.00, 7.43, 96.69
RIGHT, 11795458, "2023/10/13 19:00:43", 160001217120, RIGHT, 3615.00, 31.00, 1270.00, 8.58, 75.65
RIGHT, 11828911, "2023/10/13 19:01:16", 16000069229, RIGHT, 2832.00, 24.00, 1041.00, 8.47, 74.62
RIGHT, 11979881, "2023/10/13 19:03:47", 160001217120, LEFT, 4013.00, 35.00, 1492.00, 8.72, 72.03
RIGHT, 12015520, "2023/10/13 19:04:23", 160002113211, LEFT, 12649.00, 94.00, 4207.00, 7.43, 89.81
RIGHT, 12055500, "2023/10/13 19:05:03", 16000069229, RIGHT, 4018.00, 33.00, 1524.00, 8.21, 75.58
RIGHT, 12275186, "2023/10/13 19:08:43", 16000286244, LEFT, 3977.00, 32.00, 1283.00, 8.05, 84.19
RIGHT, 12297746, "2023/10/13 19:09:05", 16000287245, RIGHT, 7692.00, 58.00, 2599.00, 7.54, 87.81
RIGHT, 12444393, "2023/10/13 19:11:32", 16000286244, RIGHT, 7147.00, 55.00, 2459.00, 7.70, 85.24
RIGHT, 12450743, "2023/10/13 19:11:38", 160001217120, LEFT, 4346.00, 38.00, 1561.00, 8.74, 73.29
RIGHT, 12466536, "2023/10/13 19:11:54", 16000069229, RIGHT, 2968.00, 24.00, 1031.00, 8.09, 80.71
RIGHT, 12814352, "2023/10/13 19:17:42", 16000287245, RIGHT, 4821.00, 38.00, 1558.00, 7.88, 85.87
RIGHT, 12818797, "2023/10/13 19:17:46", 16000286244, LEFT, 15395.00, 103.00, 4572.00, 6.69, 105.08
